from,to
TS,GH
TS,FL
TS,SS
TS,ZDFn
TS,WDR
TS,EL
TS,St
TS,TVT
TS,EF
TS,WE
TS,RN
TS,DSUI
LM,DSUI
TS,LM
FL,QCC
KHU,QCC
SKY,QCC
TS,KHU
FL,PT
TS,LNB
FL,LNB
TS,KT
TS,WWW
FL,WWW
FL,KT
FL,TS
FL,RTLII
FL,DN
FL,NYT
FL,WDR
FL,EL
FL,GH
FL,KCN
TS,KCN
EL,KCN
WDR,KT
ProS,LNB
FL,St
St,LOL
TS,LOL
KHU,PT
FL,WWDS
ARD,WWDS
TS,PKS
SWR,PKS
FL,SZ
YT,EL
YT,PKS
YT,WWW
MDR,SZ
JB,RB
JB,Re
JB,HR
JB,E
JB,SatI
JB,ZDFk
JB,ZDF
JB,ZDFn
JB,ZDFmr
JB,WDR
JB,FuF
OS,FuF
OS,ZDFn
OS,WDR
OS,Re
OS,NDR
OS,NDRf
OS,ProS
JB,DHSS
E,DHSS
SatI,DHSS
JB,RuB
ZDFk,RuB
JB,Neomr
ZDF,Neomr
JB,Neom
ZDFn,Neom
JB,SuB
OS,SuB
ZDFn,SuB
JB,JKOJ
OS,JKOJ
Re,JKOJ
JB,SuS
OS,SuS
Re,SuS
OS,Zf
WDR,Zf
OS,Neop
ZDFn,Neop
OS,BO
NDRf,BO
OS,NDRt
NDR,NDRt
OS,DGeA
NDR,DgeA
OS,CHG
ProS,CHG
OS,SidB
ProS,SidB
OS,JgK
ProS,JgK
TSb,JKOJ
TSb,ProS
TSb,FTV
TSb,Viva
TSb,Neop
TSb,LNB
TSb,CHG
TSb,JgK
TSb,YT
JL,Viva
JL,Neop
JL,ProS
JL,LNB
JL,CHG
JL,ZDF
JL,JgK
JL,FTV
JL,YT
JL,JKOJ
KHU,ProS
KHU,LNB
KHU,CHG
KHU,ZDF
KHU,JgK
KHU,FTV
KHU,Viva
KHU,Neop
KHU,YT
KHU,JKOJ
KHU,RB
KHU,EL
KHU,Satl
KHU,E
KHU,ZDF
KHU,ZDFn
KHU,Neomr
KHU,Neom
anse,sarü
anse,woze
anse,zeve
anse,zewi
anse,doma
anse,swäta
anse,tagze
anse,zeit
sarü,zeve
sarü,bild
sarü,taz
sarü,upfarr
sarü,zedo
sarü,woze
sarü,zeit
